ID	pKa	marvin_pKa	marvin_atom	marvin_pKa_type	original_dataset
273537	7.46	8.2	8	basic	['chembl25']
7175	4.2	3.94	7	basic	['datawarrior']
998	3.73	5.91	10	acidic	['datawarrior']
560562	11.0	8.94	14	basic	['chembl25']
1138	5.05	7.57	9	basic	['datawarrior']
14699136	7.0	6.36	13	basic	['chembl25']
6372403	4.62	5.73	9	acidic	['chembl25']
575043	11.2	8.96	11	basic	['chembl25']
871891	3.0	4.6	5	basic	['chembl25']
14686577	9.65	9.36	9	basic	['chembl25']
2042	3.7	4.46	8	basic	['datawarrior']
15185598	6.95	6.54	12	basic	['chembl25']
5473	6.38	7.88	10	basic	['datawarrior']
997	3.82	5.89	10	acidic	['datawarrior']
558184	11.2	8.78	15	basic	['chembl25']
565134	11.3	8.83	16	basic	['chembl25']
583564	10.88	8.74	14	basic	['chembl25']
583573	10.9	8.79	15	basic	['chembl25']
570184	10.9	8.84	16	basic	['chembl25']
556984	11.2	8.86	17	basic	['chembl25']
566249	10.4	8.56	17	basic	['chembl25']
553405	10.5	8.05	16	basic	['chembl25']
566253	10.51	8.35	16	basic	['chembl25']
14686568	7.85	8.5	10	basic	['chembl25']
578810	11.1	8.94	12	basic	['chembl25']
866791	2.0	2.78	6	basic	['chembl25']
1001	3.83	5.78	10	acidic	['datawarrior']
584878	11.2	9.42	13	basic	['chembl25']
7870	2.94	3.45	4	basic	['datawarrior']
7176	4.03	3.84	10	basic	['datawarrior']
4968	3.9	3.04	10	basic	['datawarrior']
3916	3.54	3.65	6	basic	['datawarrior']
7282	2.13	4.47	4	acidic	['datawarrior']
2282	4.75	3.36	2	acidic	['datawarrior']
2281	4.8	3.62	2	acidic	['datawarrior']
1321	8.7	10.04	0	basic	['datawarrior']
4095	9.3	9.88	0	basic	['datawarrior']
1322	6.65	8.74	0	basic	['datawarrior']
1879	8.7	9.59	0	basic	['datawarrior']
1319	9.6	10.15	0	basic	['datawarrior']
4102	6.45	8.43	0	basic	['datawarrior']
4100	8.2	8.97	0	basic	['datawarrior']
4101	9.0	9.77	0	basic	['datawarrior']
755	4.26	2.81	0	basic	['datawarrior']
845343	7.98	7.07	15	acidic	['chembl25']
839189	8.0	7.14	12	acidic	['chembl25']
4399	3.25	2.86	0	basic	['datawarrior']
829703	7.96	6.97	12	acidic	['chembl25']
1320	8.8	10.04	0	basic	['datawarrior']
3206	8.2	10.32	0	basic	['datawarrior']
848855	7.99	7.07	13	acidic	['chembl25']
859108	8.02	7.0	14	acidic	['chembl25']
862496	7.97	7.14	17	acidic	['chembl25']
836743	8.03	7.1	18	acidic	['chembl25']
7330	3.31	3.91	2	acidic	['datawarrior']
841740	8.03	7.05	15	acidic	['chembl25']
