pKa	Source	ROMol	ISO_SMI	marvin_pKa
2.21	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e106110>	Nc1nc[nH+]c(S)c1N	
9.66	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e156b20>	C=CCN1CCCCC1	
7.4	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6221f0>	C[C@H](N)C(=O)NCCCC[C@H](N)C(=O)Nc1ccc(C#Cc2c(F)c(F)nc(F)c2F)cc1	
3.38	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6d9df3e0>	O=C(O)CS	
4.6	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e84c3c0>	N#Cc1cc2[nH]cc(C(=O)O)c2cc1-c1ccc(C2(O)CCC2)cc1	
6.39	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e1053f0>	COc1cccc(S)c1	
4.95	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e59ef10>	C1N2CN3CN1CN(C2)C3	
9.47	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dea51c0>	C=C(C)[C@H]1CN[C@H](C(=O)[O-])[C@H]1CC(N)=O	
7.6	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e027df0>	CC1=NS(=O)(=O)c2cnccc2N1	
8.5	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e7663b0>	Cc1c(O)ccc2c(Cc3ccc(/C=C/C(=O)O)cc3)c(-c3ccc(OC(F)(F)F)cc3)c(=O)oc12	
8.28	Liao	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea62b90>	CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21	
6.19	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e0b3920>	Cc1cc(=O)n2ncnc2[nH]1	
5.3	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5c6dc0>	COC(=O)N1CCc2c(O)noc2C1	
1.43	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6d8b22d0>	Sc1cc[nH+]cc1	
5.1	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e23c970>	[O-]c1nc(C(F)(F)F)nc2nc[nH]c12	
4.5	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e509f50>	Cn1cccc1-c1cccnc1	
9.03	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e67da80>	CCN(CC)C(C)CC(=O)Nc1c(C)cccc1C	
10.47	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dafc6d0>	Oc1ccc(OCc2ccccc2)cc1	
9.4	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6ce1f0>	C[C@@H](Cc1ccccc1)N(C)C	
3.19	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e1e22d0>	O=C1C=C(O)C(=O)c2ccccc21	
3.39	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6db61cb0>	COc1ccc(/N=N/c2c(N)n[nH]c2N)cc1	
10.43	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6de5ba70>	CN(C)CCCCCCNC(=O)/C=N/[O-]	
9.2	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6eaa3760>	O=C(N1CCOCC1)N1CCC(Oc2ccc3c(c2)CCN(C2CCC2)CC3)CC1	
8.35	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e80a260>	NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2	
7.4	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e9fc5f0>	CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1	
10.7	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6cc350>	O/N=C(/Cc1ccccc1)NO	
7.0	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e7398c0>	Cc1c(N2CCCCCC2)nc(C2CC2)nc1N1CC(C)(C)C1	
6.62	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e738d60>	Cl.NCCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1	
8.6	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e23eb20>	CN1CC(O)C2=C/C(=N\O)C(=O)C=C21	
10.9	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e46d460>	Cc1cc(C)c(O)c(C)c1	
9.47	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8668f0>	COc1ccc(F)cc1CNCCCNc1ccnc2cc(Cc3ccc4c(c3)OCO4)ccc12	
7.48	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e823300>	C#CCN(C)[C@H](C)Cc1ccccc1	
2.0	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6daff5a0>	C[C@H]1CC[C@H]2[C@H](C)CC[C@@H](C(=O)O)[NH+]2C1	
7.36	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e63ba00>	CN(Cc1ccc(N(C)C)cc1)Cc1cccc(CNc2ccnc3cc(Cl)ccc23)c1	
