pKa	marvin_pKa	marvin_atom	marvin_pKa_type	ISO_SMI	SMILES
7.42	8.6	10	basic	C#CC[NH+](C)[C@H](C)Cc1ccc(F)cc1	C#CC[NH+](C)[C@H](C)Cc1ccc(F)cc1
9.5	9.86	9	basic	CC(=O)CC1CCCC[NH2+]1	CC(=O)CC1CCCC[NH2+]1
9.1	9.05	6	basic	CC(=O)CCC[NH+](C)C	CC(=O)CCC[NH+](C)C
3.6	4.09	8	acidic	CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
9.4	9.78	8	basic	CC(=O)OCCCC[NH+](C)C	CC(=O)OCCCC[NH+](C)C
9.0	9.45	7	basic	CC(=O)OCCC[NH+](C)C	CC(=O)OCCC[NH+](C)C
7.96	9.1	15	basic	CC(=O)Oc1ccc2c3c1O[C@@H]1C(OC(C)=O)C=C[C@H]4[C@@H](C2)[NH+](C)CC[C@]314	CC(=O)Oc1ccc2c3c1O[C@@H]1C(OC(C)=O)C=C[C@H]4[C@@H](C2)[NH+](C)CC[C@]314
3.73	3.55	4	acidic	CC(C(=O)[O-])N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1	CC(C(=O)[O-])N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1
9.92	9.76	4	basic	CC(C)(C)[NH2+]CC(O)COc1ccccc1C1CCCC1	CC(C)(C)[NH2+]CC(O)COc1ccccc1C1CCCC1
8.8	9.76	4	basic	CC(C)(C)[NH2+]CC(O)COc1nsnc1N1CCOCC1	CC(C)(C)[NH2+]CC(O)COc1nsnc1N1CCOCC1
4.44	4.85	14	acidic	CC(C)Cc1ccc([C@@H](C)C(=O)[O-])cc1	CC(C)Cc1ccc([C@@H](C)C(=O)[O-])cc1
4.31	4.54	20	acidic	CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21	CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21
7.34	8.49	3	basic	CC(Cc1ccc(C(C)(C)C)cc1)C[NH+]1CC(C)OC(C)C1	CC(Cc1ccc(C(C)(C)C)cc1)C[NH+]1CC(C)OC(C)C1
8.48	8.76	19	basic	CC/C(=C(/c1ccccc1)c1ccc(OCC[NH+](C)C)cc1)c1ccccc1	CC/C(=C(/c1ccccc1)c1ccc(OCC[NH+](C)C)cc1)c1ccccc1
7.9	8.5	7	basic	CC1(C)CC(=O)CC(C)(C)[NH2+]1	CC1(C)CC(=O)CC(C)(C)[NH2+]1
5.15	4.76	19	acidic	CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)[O-])C(C)(C)CCC1	CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)[O-])C(C)(C)CCC1
10.55	9.36	4	basic	CC1=CC[NH+]2CCC[C@@H]12	CC1=CC[NH+]2CCC[C@@H]12
7.4	8.47	7	basic	CC1CCC([NH+]2CCN(c3ccccc3F)CC2)CC1	CC1CCC([NH+]2CCN(c3ccccc3F)CC2)CC1
11.4	11.14	4	basic	CC1CC[NH+]2CCCC12	CC1CC[NH+]2CCCC12
6.325	5.81	17	acidic	CC1CCc2cc(F)cc3c(=O)c(C(=O)[O-])cn1c23	CC1CCc2cc(F)cc3c(=O)c(C(=O)[O-])cn1c23
9.06	9.51	22	basic	CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)C[NH+](C)C	CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)C[NH+](C)C
8.83	8.89	32	basic	CCC1OC(=O)CC(O)C(C)C(CC=O)(OC2OC(C)CC([NH+](C)C)C2O)CC(C)C(=O)/C=C\C(C)=C/C1C	CCC1OC(=O)CC(O)C(C)C(CC=O)(OC2OC(C)CC([NH+](C)C)C2O)CC(C)C(=O)/C=C\C(C)=C/C1C
8.79	8.91	30	basic	CCC1OC(=O)CC(O)CC(OC2OC(C)CC([NH+](C)C)C2O)C(CC=O)CC(C)C(=O)/C=C\C2OC2C1C	CCC1OC(=O)CC(O)CC(OC2OC(C)CC([NH+](C)C)C2O)C(CC=O)CC(C)C(=O)/C=C\C2OC2C1C
9.52	9.65	19	basic	CCCC(=O)Nc1ccc(OC[C@H](O)C[NH2+]C(C)C)c(C(C)=O)c1	CCCC(=O)Nc1ccc(OC[C@H](O)C[NH2+]C(C)C)c(C(C)=O)c1
3.56	4.27	10	acidic	CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
7.85	8.86	7	basic	CCCCC1CC[NH+](CCCC(=O)c2ccccc2C)CC1	CCCCC1CC[NH+](CCCC(=O)c2ccccc2C)CC1
3.6	4.22	14	acidic	CCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	CCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
3.65	4.22	16	acidic	CCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	CCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
4.77	4.3	22	acidic	CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](O)CC(=O)[C@H]1C/C=C/CCCC(=O)[O-]	CCCCC[C@H](O)/C=C/[C@H]1[C@H](C/C=C/CCCC(=O)[O-])C(=O)C[C@@H]1O
