pKa	marvin_pKa	marvin_atom	marvin_pKa_type	original_dataset	SMILES
7.46	8.2	8	basic	['chembl25']	Brc1cc(Br)c(NC2=NCCN2)c(Br)c1
4.2	3.94	7	basic	['datawarrior']	Brc1cc2cccnc2c2ncccc12
3.73	5.91	10	acidic	['datawarrior']	Brc1ccc(-c2nn[nH]n2)cc1
11.0	8.94	14	basic	['chembl25']	Brc1ccc(Br)c(N(CC2CC2)C2=NCCN2)c1
5.05	7.57	9	basic	['datawarrior']	Brc1ccc(C2NCCS2)cc1
7.0	6.36	13	basic	['chembl25']	Brc1ccc(Cc2c3ccccc3nc3ccccc23)cc1
4.62	5.73	9	acidic	['chembl25']	Brc1ccc(Cc2nn[nH]n2)cc1
11.2	8.96	11	basic	['chembl25']	Brc1ccc(N(CC2CC2)C2=NCCN2)c(Br)c1
3.0	4.6	5	basic	['chembl25']	Brc1ccc(N2CCc3ccccc3C2)nc1
9.65	9.36	9	basic	['chembl25']	Brc1ccc(NC2=NCCN2)cc1
3.7	4.46	8	basic	['datawarrior']	Brc1ccc2c(c1)CCN2
6.95	6.54	12	basic	['chembl25']	Brc1ccc2c(c1)c1c3n2CCN(Cc2ccccc2)C3CCC1
6.38	7.88	10	basic	['datawarrior']	Brc1ccc2nc3c(c(N4CCOCC4)c2c1)CCC3
3.82	5.89	10	acidic	['datawarrior']	Brc1cccc(-c2nn[nH]n2)c1
11.2	8.78	15	basic	['chembl25']	Brc1cccc(Br)c1N(C1=NCCN1)C1CCCC1
11.3	8.83	16	basic	['chembl25']	Brc1cccc(Br)c1N(C1=NCCN1)C1CCCCC1
10.88	8.74	14	basic	['chembl25']	Brc1cccc(Br)c1N(CC1CC1)C1=NCCN1
10.9	8.79	15	basic	['chembl25']	Brc1cccc(Br)c1N(CC1CCC1)C1=NCCN1
10.9	8.84	16	basic	['chembl25']	Brc1cccc(Br)c1N(CC1CCCC1)C1=NCCN1
11.2	8.86	17	basic	['chembl25']	Brc1cccc(Br)c1N(CC1CCCCC1)C1=NCCN1
10.4	8.56	17	basic	['chembl25']	Brc1cccc(Br)c1N(Cc1ccccc1)C1=NCCN1
10.5	8.05	16	basic	['chembl25']	Brc1cccc(Br)c1N(Cc1ccco1)C1=NCCN1
10.51	8.35	16	basic	['chembl25']	Brc1cccc(Br)c1N(Cc1cccs1)C1=NCCN1
7.85	8.5	10	basic	['chembl25']	Brc1cccc(Br)c1NC1=NCCN1
11.1	8.94	12	basic	['chembl25']	Brc1cccc(N(CC2CC2)C2=NCCN2)c1Br
2.0	2.78	6	basic	['chembl25']	Brc1cccc(N2CCc3ccccc3C2)n1
3.83	5.78	10	acidic	['datawarrior']	Brc1ccccc1-c1nn[nH]n1
11.2	9.42	13	basic	['chembl25']	Brc1ccccc1N(CC1CC1)C1=NCCN1
2.94	3.45	4	basic	['datawarrior']	Brc1cccnc1
4.03	3.84	10	basic	['datawarrior']	Brc1ccnc2c1ccc1cccnc12
3.9	3.04	10	basic	['datawarrior']	Brc1cnc2c(ccc3cc(Br)cnc32)c1
3.54	3.65	6	basic	['datawarrior']	Brc1cncc2ccccc12
2.13	4.47	4	acidic	['datawarrior']	Brc1nn[nH]n1
4.75	3.36	2	acidic	['datawarrior']	C#CC#CC#CCC(O)CCC(=O)O
4.8	3.62	2	acidic	['datawarrior']	C#CC#CC=C=CC(O)CCC(=O)O
8.7	10.04	0	basic	['datawarrior']	C#CC(C)(C(C)C)N(C)C(C)C
9.3	9.88	0	basic	['datawarrior']	C#CC(C)(C)N(C)C(C)(C)C
6.65	8.74	0	basic	['datawarrior']	C#CC(C)(C)N(C)C(C)(C)C#C
8.7	9.59	0	basic	['datawarrior']	C#CC(C)(C)N(C)C(C)C
9.6	10.15	0	basic	['datawarrior']	C#CC(C)(C)N(CC)C(C)(C)C
6.45	8.43	0	basic	['datawarrior']	C#CC(C)(C)NC(C)(C)C#C
8.2	8.97	0	basic	['datawarrior']	C#CC(C)(C)NC(C)(C)C=C
9.0	9.77	0	basic	['datawarrior']	C#CC(C)(C)NC(C)(C)CC
4.26	2.81	0	basic	['datawarrior']	C#CC(C)(C)Nc1ccccc1
7.98	7.07	15	acidic	['chembl25']	C#CC(C)(C)OC[n+]1ccn(C)c1C=NO
8.0	7.14	12	acidic	['chembl25']	C#CC(C)C(C)OC[n+]1ccn(C)c1C=NO
3.25	2.86	0	basic	['datawarrior']	C#CC(C)Nc1ccccc1
7.96	6.97	12	acidic	['chembl25']	C#CC(C)OC[n+]1ccn(C)c1C=NO
8.8	10.04	0	basic	['datawarrior']	C#CC(CC)(CC)N(C)C(C)C
8.2	10.32	0	basic	['datawarrior']	C#CC(CC)(CC)N(CC)C(C)C
7.99	7.07	13	acidic	['chembl25']	C#CC(CC)OC[n+]1ccn(C)c1C=NO
8.02	7.0	14	acidic	['chembl25']	C#CC(CCC)OC[n+]1ccn(C)c1C=NO
7.97	7.14	17	acidic	['chembl25']	C#CC1(OC[n+]2ccn(C)c2C=NO)CCCC1
8.03	7.1	18	acidic	['chembl25']	C#CC1CCCCC1OC[n+]1ccn(C)c1C=NO
3.31	3.91	2	acidic	['datawarrior']	C#CCC(=O)O
8.03	7.05	15	acidic	['chembl25']	C#CCC(C)OC[n+]1ccn(C)c1C=NO
7.92	7.07	17	acidic	['chembl25']	C#CCC(CCC)OC[n+]1ccn(C)c1C=NO
7.99	7.05	20	acidic	['chembl25']	C#CCC(OC[n+]1ccn(C)c1C=NO)c1ccccc1
4.2	4.36	2	acidic	['datawarrior']	C#CCCC(=O)O
4.6	4.54	2	acidic	['datawarrior']	C#CCCCC(=O)O
4.58	4.67	2	acidic	['datawarrior']	C#CCCCCC(=O)O
10.74	10.2	0	basic	['datawarrior']	C#CCCCCCCN
10.64	10.2	0	basic	['datawarrior']	C#CCCCCCN
10.5	10.2	0	basic	['datawarrior']	C#CCCCCN
9.24	9.78	0	basic	['datawarrior']	C#CCCCCN(C)C
7.93	7.91	0	acidic	['chembl25']	C#CCCCC[n+]1ccccc1C=NO
8.06	9.53	17	acidic	['chembl25']	C#CCCCC[n+]1ccn(C(C)(C)C)c1C=NO
8.18	9.4	14	acidic	['chembl25']	C#CCCCC[n+]1ccn(C)c1C=NO
8.23	9.41	16	acidic	['chembl25']	C#CCCCC[n+]1ccn(COC)c1C=NO
7.34	6.11	14	acidic	['chembl25']	C#CCCCC[n+]1cn(C)c(C=NO)n1
10.21	10.17	0	basic	['datawarrior']	C#CCCCN
8.88	9.78	0	basic	['datawarrior']	C#CCCCN(C)C
8.2	7.06	15	acidic	['chembl25']	C#CCCCOC[n+]1ccn(C)c1C=NO
9.23	9.87	0	basic	['datawarrior']	C#CCCN
8.33	9.25	0	basic	['datawarrior']	C#CCCN(C)C
8.18	7.86	0	acidic	['chembl25']	C#CCCOC[n+]1ccc(C=NO)cc1
7.84	7.14	17	acidic	['chembl25']	C#CCCOC[n+]1ccn(C(C)(C)C)c1C=NO
7.99	6.95	14	acidic	['chembl25']	C#CCCOC[n+]1ccn(C)c1C=NO
8.19	8.97	0	basic	['datawarrior']	C#CCN
7.05	8.52	0	basic	['datawarrior']	C#CCN(C)C
8.015	8.67	9	basic	['chembl25']	C#CCN(C)[C@H](C)Cc1ccccc1
10.1	7.84	13	basic	['chembl25']	C#CCN(C1=NCCN1)c1c(Br)cccc1Br
9.3	9.82	0	basic	['chembl25']	C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN
9.4	9.82	12	basic	['chembl25']	C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN
5.44	6.07	10	basic	['datawarrior']	C#CCN1CCN(C(=O)OCC)CC1
5.54	6.62	5	basic	['datawarrior']	C#CCN1CCOCC1
6.08	8.05	0	basic	['datawarrior']	C#CCNCC#C
5.46	7.96	1	basic	['datawarrior']	C#CCNN
3.06	2.92	0	basic	['datawarrior']	C#CCNc1ccccc1
8.01	6.86	13	acidic	['chembl25']	C#CCOC[n+]1ccn(C)c1C=NO
