pKa	marvin_pKa	marvin_atom	marvin_pKa_type	ISO_SMI	SMILES
8.55	5.34	13	basic	Brc1ccc(C2CN3C=CSC3=[NH+]2)cc1	Brc1ccc(C2CN3C=CSC3=[NH+]2)cc1
5.5	5.4	4	basic	C/C(=C\c1cc(C)ccn1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1	C/C(=C\c1cc(C)ccn1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1
4.5	5.05	5	basic	C/C(=C\c1ccc(C)cn1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1	C/C(=C\c1ccc(C)cn1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1
5.5	5.36	6	basic	C/C(=C\c1cccc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1	C/C(=C\c1cccc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1
5.0	4.64	32	basic	C/C(=C\c1ccccn1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1	C/C(=C\c1ccccn1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1
10.2	7.11	19	basic	C1=C(c2ccc3ccccc3c2)N2CC[NH+]=C2c2ccccc21	C1=C(c2ccc3ccccc3c2)N2CC[NH+]=C2c2ccccc21
10.3	7.03	19	basic	C1=C(c2cccc3ccccc23)N2CC[NH+]=C2c2ccccc21	C1=C(c2cccc3ccccc23)N2CC[NH+]=C2c2ccccc21
10.3	7.13	15	basic	C1=C(c2ccccc2)N2CC[NH+]=C2c2ccccc21	C1=C(c2ccccc2)N2CC[NH+]=C2c2ccccc21
8.7	5.34	13	basic	C1=CN2CC(c3ccccc3)[NH+]=C2S1	C1=CN2CC(c3ccccc3)[NH+]=C2S1
3.8	4.05	29	basic	C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1	C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
4.8	2.18	13	basic	C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1	C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1
2.9	3.89	23	basic	C=CCNc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2C(C)C	C=CCNc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2C(C)C
8.2	8.82	12	basic	CC#CCn1c(N2CC[NH2+]CC2)c(C#N)c2ncn(CC(=O)c3cccc(OC)c3)c(=O)c21	CC#CCn1c(N2CC[NH2+]CC2)c(C#N)c2ncn(CC(=O)c3cccc(OC)c3)c(=O)c21
2.4	2.58	17	basic	CC(=C(C#N)C#N)c1ccc2cc(N(C)CCF)ccc2c1	CC(=C(C#N)C#N)c1ccc2cc(N(C)CCF)ccc2c1
4.31	3.4	12	basic	CC(=O)N1CCC(CNc2nc3c(s2)CCCc2ccc(F)cc2-3)CC1	CC(=O)N1CCC(CNc2nc3c(s2)CCCc2ccc(F)cc2-3)CC1
3.6	3.94	6	basic	CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCC(F)(F)CC3)cc2)CC1	CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCC(F)(F)CC3)cc2)CC1
3.3	3.94	6	basic	CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCCCC3)cc2)CC1	CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCCCC3)cc2)CC1
5.9	6.63	3	basic	CC(=O)Nc1cc(Cl)ccc1/C=C/C(=O)N1CC[NH+](Cc2ccc(F)cc2)C[C@H]1C	CC(=O)Nc1cc(Cl)ccc1/C=C/C(=O)N1CC[NH+](Cc2ccc(F)cc2)C[C@H]1C
3.9	4.61	19	basic	CC(=O)Nc1ccc(Nc2ncnc3c2c(-c2ccccc2)cn3-c2ccccc2)cc1	CC(=O)Nc1ccc(Nc2ncnc3c2c(-c2ccccc2)cn3-c2ccccc2)cc1
9.7	11.68	10	acidic	CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)n3ncc(C#N)c3n2)c1	CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)n3ncc(C#N)c3n2)c1
2.92	3.85	13	acidic	CC(=O)Nc1cccc2c1c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)[O-]	CC(=O)Nc1cccc2c1c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)[O-]
5.2	5.84	21	acidic	CC(=O)n1cc(C2=C([O-])CC(C)(C)CC2=O)c2ccccc21	CC(=O)n1cc(C2=C([O-])CC(C)(C)CC2=O)c2ccccc21
4.1	3.67	20	acidic	CC(C(=O)[O-])c1ccc2c(c1)C(=O)c1ccccc1CS2	CC(C(=O)[O-])c1ccc2c(c1)C(=O)c1ccccc1CS2
4.3	4.68	17	acidic	CC(C(=O)[O-])c1ccc2c(c1)Cc1ccccc1-2	CC(C(=O)[O-])c1ccc2c(c1)Cc1ccccc1-2
9.2	10.13	26	basic	CC(C)(C)Cn1c(CN2C(=O)CC3(CC[NH2+]CC3)C2=O)cc2cnc(C#N)nc21	CC(C)(C)Cn1c(CN2C(=O)CC3(CC[NH2+]CC3)C2=O)cc2cnc(C#N)nc21
9.3	10.69	27	acidic	CC(C)(C)Cn1c(Cc2ccc(NS(N)(=O)=O)cc2)cc2cnc(C#N)nc21	CC(C)(C)Cn1c(Cc2ccc(NS(N)(=O)=O)cc2)cc2cnc(C#N)nc21
2.1	4.26	15	acidic	CC(C)(C)OC(=O)N1CCC(C(=O)NS(=O)(=O)c2c(Cl)sc(Cl)c2Br)CC1	CC(C)(C)OC(=O)N1CCC(C(=O)NS(=O)(=O)c2c(Cl)sc(Cl)c2Br)CC1
9.7	9.62	4	basic	CC(C)(C)[NH2+]C[C@H](O)c1cc(Cl)c(N)c(Cl)c1	CC(C)(C)[NH2+]C[C@H](O)c1cc(Cl)c(N)c(Cl)c1
6.865	7.3	13	acidic	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1
8.2	7.83	33	basic	CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4ccc(N5CC[NH+](C)CC5)cc4)cnn3c2N)cc1	CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4ccc(N5CC[NH+](C)CC5)cc4)cnn3c2N)cc1
7.24	5.01	15	basic	CC(C)Cn1cnc2c(N)nc3ccccc3c21	CC(C)Cn1cnc2c(N)nc3ccccc3c21
3.37	3.77	12	acidic	CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1	CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1
